# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Sep 26 20:00:59 2025
#
# User ID:         holographic.sol
#
# User preference: archive defaults
#
# COLUMN star_name:      Star Name
# COLUMN hip_name:       HIP Name
# COLUMN hd_name:        HD Name
# COLUMN gj_name:        GJ Name
# COLUMN tm_name:        2MASS Name
# COLUMN st_exocatflag:  ExoCat List Flag
# COLUMN st_coronagflag: Exo-C List Flag
# COLUMN st_starshadeflag: Exo-S List Flag
# COLUMN st_wfirstflag:  WFIRST List Flag
# COLUMN st_lbtiflag:    LBTI List Flag
# COLUMN st_rvflag:      Known RV Data
# COLUMN st_ppnum:       Number of Planets in System
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_vmag:        V-band [mag]
# COLUMN st_vmagerr:     V-band Unc. [mag]
# COLUMN st_vmagsrc:     V-band Source
# COLUMN st_bmv:         B-V [mag]
# COLUMN st_bmverr:      B-V Unc. [mag]
# COLUMN st_bmvsrc:      B-V Source
# COLUMN st_spttype:     Spectral Type
# COLUMN st_lbol:        Stellar Bolometric Luminosity [Solar]
# COLUMN st_lbolerr:     Stellar Bolometric Luminosity Unc. [Solar]
# COLUMN st_lbolsrc:     Stellar Bolometric Luminosity Source
# COLUMN wds_designation: WDS Designation
# COLUMN wds_sep:        WDS Angular Separation [arcsec]
# COLUMN wds_deltamag:   WDS Magnitude Difference [mag]
# COLUMN st_fracplxunc:  Fractional Parallax Uncertainty
# COLUMN st_pmra:        Proper Motion (RA) [mas/yr]
# COLUMN st_pmraerr:     Proper Motion (RA) Unc. [mas/yr]
# COLUMN st_pmdec:       Proper Motion (Dec) [mas/yr]
# COLUMN st_pmdecerr:    Proper Motion (Dec) Unc. [mas/yr]
# COLUMN st_glon:        Galactic Longitude [deg]
# COLUMN st_glat:        Galactic Latitude [deg]
# COLUMN st_vmk:         V-K [mag]
# COLUMN st_vmkerr:      V-K Unc. [mag]
# COLUMN st_kmagsrc:     K-band Source
# COLUMN st_mbol:        Bolometric Magnitude [mag]
# COLUMN st_mbolerr:     Bolometric Magnitude Unc. [mag]
# COLUMN st_mbolsrc:     Bolometric Magnitude Source
# COLUMN st_mbolflag:    Bolometric Magnitude Contamination Flag
# COLUMN st_spttag:      Spectral Type Tag
# COLUMN st_lumclass:    Luminosity Class
# COLUMN st_eeidau:      Earth-Equivalent Insolation Distance [au]
# COLUMN st_eeidauerr:   Earth-Equivalent Insolation Distance Unc. [au]
# COLUMN st_eeidmas:     Earth-Equivalent Insolation Distance [mas]
# COLUMN st_eeidmaserr:  Earth-Equivalent Insolation Distance Unc. [mas]
# COLUMN st_fpbearth:    Fractional Planet Brightness
# COLUMN st_fpbeartherr: Fractional Planet Brightness Unc.
# COLUMN st_vmagearth:   Earth-Equivalent V-band Magnitude [mag]
# COLUMN st_vmageartherr: Earth-Equivalent V-band Magnitude Unc. [mag]
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr:     Stellar Effective Temperature Unc. [K]
# COLUMN st_teffsrc:     Stellar Effective Temperature Source
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr:      Stellar Radius Unc. [Solar radii]
# COLUMN st_radsrc:      Stellar Radius Source
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr:     Stellar Mass Unc. [Solar mass]
# COLUMN st_masssrc:     Stellar Mass Source
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr:     Stellar Surface Gravity Unc. [log10(cm/s**2)]
# COLUMN st_loggsrc:     Stellar Surface Gravity Source
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr:      Stellar Age Unc. [Gyr]
# COLUMN st_agesrc:      Stellar Age Source
# COLUMN st_actclass:    Activity Class
# COLUMN st_metfe:       Stellar Metallicity [dex]
# COLUMN st_metfeerr:    Stellar Metallicity Unc. [dex]
# COLUMN st_metfesrc:    Stellar Metallicity Source
# COLUMN st_metratio:    Metallicity Ratio
# COLUMN st_probeflag:   Probe List Flag
# COLUMN st_k2flag:      K2 Flag
# COLUMN st_k2campaign:  K2 Campaign
# COLUMN st_nts:         Number of Time Series
# COLUMN st_nplc:        Number of Planet Transit Light Curves
# COLUMN st_nglc:        Number of General Light Curves
# COLUMN st_nrvc:        Number of Radial Velocity Curves
# COLUMN st_naxa:        Number of Amateur Light Curves
# COLUMN st_nimg:        Number of Images
# COLUMN st_nspec:       Number of Spectra
# COLUMN st_j2m:         J-band (2MASS) [mag]
# COLUMN st_j2merr:      J-band (2MASS) Unc. [mag]
# COLUMN st_j2mlim:      J-band (2MASS) Limit Flag
# COLUMN st_h2m:         H-band (2MASS) [mag]
# COLUMN st_h2merr:      H-band (2MASS) Unc. [mag]
# COLUMN st_h2mlim:      H-band (2MASS) Limit Flag
# COLUMN st_ks2m:        Ks-band (2MASS) [mag]
# COLUMN st_ks2merr:     Ks-band (2MASS) Unc. [mag]
# COLUMN st_ks2mlim:     Ks-band (2MASS) Limit Flag
# COLUMN st_wise1:       WISE 3.4um [mag]
# COLUMN st_wise1err:    WISE 3.4um Unc. [mag]
# COLUMN st_wise1lim:    WISE 3.4um Limit Flag
# COLUMN st_wise2:       WISE 4.6um [mag]
# COLUMN st_wise2err:    WISE 4.6um Unc. [mag]
# COLUMN st_wise2lim:    WISE 4.6um Limit Flag
# COLUMN st_wise3:       WISE 12.um [mag]
# COLUMN st_wise3err:    WISE 12.um Unc. [mag]
# COLUMN st_wise3lim:    WISE 12.um Limit Flag
# COLUMN st_wise4:       WISE 22.um [mag]
# COLUMN st_wise4err:    WISE 22.um Unc. [mag]
# COLUMN st_wise4lim:    WISE 22.um Limit Flag
#
rowid,star_name,hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_lbtiflag,st_rvflag,st_ppnum,rastr,ra,decstr,dec,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_vmagsrc,st_bmv,st_bmverr,st_bmvsrc,st_spttype,st_lbol,st_lbolerr,st_lbolsrc,wds_designation,wds_sep,wds_deltamag,st_fracplxunc,st_pmra,st_pmraerr,st_pmdec,st_pmdecerr,st_glon,st_glat,st_vmk,st_vmkerr,st_kmagsrc,st_mbol,st_mbolerr,st_mbolsrc,st_mbolflag,st_spttag,st_lumclass,st_eeidau,st_eeidauerr,st_eeidmas,st_eeidmaserr,st_fpbearth,st_fpbeartherr,st_vmagearth,st_vmageartherr,st_teff,st_tefferr,st_teffsrc,st_rad,st_raderr,st_radsrc,st_mass,st_masserr,st_masssrc,st_logg,st_loggerr,st_loggsrc,st_age,st_ageerr,st_agesrc,st_actclass,st_metfe,st_metfeerr,st_metfesrc,st_metratio,st_probeflag,st_k2flag,st_k2campaign,st_nts,st_nplc,st_nglc,st_nrvc,st_naxa,st_nimg,st_nspec,st_j2m,st_j2merr,st_j2mlim,st_h2m,st_h2merr,st_h2mlim,st_ks2m,st_ks2merr,st_ks2mlim,st_wise1,st_wise1err,st_wise1lim,st_wise2,st_wise2err,st_wise2lim,st_wise3,st_wise3err,st_wise3lim,st_wise4,st_wise4err,st_wise4lim
1,HIP 171,HIP 171,HD 224930,GJ 914 A,2MASS J00021014+2704570 A,1,0,1,0,0,0,0,00h02m09.65s,0.540188,+27d05m04.2s,27.084489,12.17,0.38,-0.35,5.800,0.010,G,0.690,0.020,G,G3V,0.700,0.090,V-K,00022+2705,0.80000,3.070,0.03,778.600,,-918.700,,109.603956,-34.508667,1.860,0.050,1968ApJ...152..465J,5.370,0.070,,0,G,MAINSEQ,0.84,,68.65,,0.00,,30.25,,5502.00,,Gray,0.92,,Turnbull,0.91,,Turnbull,4.27,,Gray,,,,I,,,,,1,0,,1,0,1,0,0,2,0,4.702,0.214,0,4.179,0.198,0,4.068,0.236,0,,,,,,,,,,,,
2,HD 142,HIP 522,HD 142,GJ 4.2 A,2MASS J00061921-4904307 A,1,1,0,0,0,1,2,00h06m18.66s,1.577763,-49d04m30.3s,-49.075094,25.71,0.26,-0.25,5.700,0.020,VT,0.520,0.010,G,F7V,3.000,0.110,B-V,00063-4905,,,0.01,575.200,,-39.900,,321.590336,-66.386046,,,,3.650,0.040,,0,F,MAINSEQ,1.73,,67.41,,0.00,,31.74,,6249.00,,2005ApJS..159..141V,1.40,,2007ApJS..168..297T,1.23,,2007ApJS..168..297T,4.26,,2007ApJS..168..297T,3.120,,2007ApJS..168..297T,I,0.100,,,[Fe/H],1,0,,3,0,1,2,0,1,0,4.690,0.254,0,4.646,0.076,0,4.474,0.024,0,4.308,0.302,0,3.636,0.118,0,4.320,0.013,0,4.384,0.025,0
3,HIP 544,HIP 544,HD 166,GJ 5,2MASS J00063674+2901175,1,0,1,0,0,1,0,00h06m36.53s,1.652210,+29d01m19.0s,29.021935,13.67,0.14,-0.14,6.060,0.020,VT,0.750,0.000,G,K0V,0.680,0.110,B-V,00066+2901,,,0.01,379.900,,-178.300,,111.262617,-32.831930,,,,5.380,0.030,,0,K,MAINSEQ,0.83,,60.40,,0.00,,30.49,,5577.00,,2005ApJS..159..141V,0.88,,2007ApJS..168..297T,0.98,,2007ApJS..168..297T,4.57,,2007ApJS..168..297T,1.900,,2005ApJS..159..141V,A,0.180,,,[Fe/H],1,0,,1,0,1,0,0,2,1,4.733,0.019,0,4.629,0.144,0,4.314,0.042,0,,,,,,,,,,,,
4,HIP 677,HIP 677,HD 358,,2MASS J00082326+2905253,1,1,0,0,0,0,0,00h08m23.17s,2.096533,+29d05m27.0s,29.090828,29.74,0.30,-0.29,2.060,0.010,VT,-0.050,0.010,BVT-Blue,B9p,251.040,0.060,V-K,00084+2905,0.00000,1.990,0.01,135.700,,-162.900,,111.731918,-32.842851,-0.280,0.050,Koornneef,-0.310,0.030,,0,B,MAINSEQ,15.84,,532.68,,0.00,,32.90,,13098.00,,Gray,3.07,,Turnbull,4.12,,Turnbull,3.91,,Gray,,,,,,,,,1,0,,1,0,1,0,0,1,0,2.129,0.232,0,2.287,0.158,0,2.223,0.238,0,,,,,,,,,,,,
5,HIP 746,HIP 746,HD 432,GJ 8,2MASS J00091071+5908591,1,1,0,0,0,0,0,00h09m10.09s,2.292040,+59d09m00.8s,59.150218,16.78,0.17,-0.17,2.260,0.020,VT,0.360,0.020,BVT-Blue,F2III-IV,29.090,0.060,V-K,00092+5909,,,0.01,523.400,,-180.400,,117.526881,-3.277129,0.780,0.050,1966CoLPL...4...99J,1.130,0.030,,0,F,MAINSEQ,5.39,,321.35,,0.00,,30.76,,6915.00,,Gray,3.76,,Turnbull,2.37,,Turnbull,3.49,,Gray,,,,,,,,,1,0,,1,0,1,0,0,2,0,1.714,0.310,0,1.585,0.174,0,1.454,0.202,0,,,,,,,,,,,,
6,HIP 910,HIP 910,HD 693,GJ 10,2MASS J00111587-1528043,1,1,0,0,1,0,0,00h11m15.91s,2.816284,-15d28m02.4s,-15.467323,18.75,0.19,-0.19,4.890,0.010,G,0.490,0.010,G,F5V,3.380,0.060,V-K,,,,0.01,-84.200,,-269.300,,82.228932,-75.064625,1.290,0.050,Kidger,3.530,0.030,,0,F,MAINSEQ,1.84,,98.13,,0.00,,31.06,,6255.00,,Gray,1.57,,Turnbull,1.37,,Turnbull,4.18,,Gray,,,,I,,,,,1,0,,1,0,1,0,0,2,1,4.153,0.268,0,3.800,0.208,0,3.821,0.218,0,,,,,,,,,,,,
7,HIP 1599,HIP 1599,HD 1581,GJ 17,2MASS J00200446-6452282,1,1,1,0,0,0,0,00h20m01.91s,5.007976,-64d52m39.4s,-64.877623,8.59,,,4.230,0.010,G,0.580,0.010,G,G0V,1.330,0.050,V-K,,,,0.00,1707.600,,1165.400,,308.327590,-51.920264,1.420,0.050,Koornneef,4.560,0.010,,0,G,MAINSEQ,1.15,,134.47,,0.00,,29.39,,5948.00,,2005ApJS..159..141V,1.07,,2007ApJS..168..297T,1.01,,2007ApJS..168..297T,4.41,,2007ApJS..168..297T,4.840,,2007ApJS..168..297T,I,-0.220,,,[Fe/H],1,0,,1,0,1,0,0,2,1,3.068,0.272,0,2.738,0.218,0,2.769,0.250,0,,,,,,,,,,,,
8,HIP 2021,HIP 2021,HD 2151,GJ 19,2MASS J00254416-7715157,1,1,1,0,0,0,0,00h25m39.20s,6.413342,-77d15m18.1s,-77.255035,7.46,,,2.820,0.010,G,0.620,0.010,G,G1IV,3.700,0.050,V-K,,,,0.00,2220.100,,324.400,,304.778774,-39.780544,1.490,0.050,Koornneef,3.460,0.010,,0,G,MAINSEQ,1.92,,257.95,,0.00,,29.08,,5873.00,,2005ApJS..159..141V,1.84,,2007ApJS..168..297T,1.14,,2007ApJS..168..297T,3.99,,2007ApJS..168..297T,6.320,,2007ApJS..168..297T,I,-0.070,,,[Fe/H],1,0,,1,0,1,0,0,2,0,1.676,0.296,0,1.434,0.220,0,1.372,0.248,0,,,,,,,,,,,,
9,HIP 2072,HIP 2072,HD 2262,GJ 20,2MASS J00261219-4340475,1,1,0,0,0,0,0,00h26m12.12s,6.550484,-43d40m47.7s,-43.679909,23.81,,,3.930,0.010,G,0.180,0.010,G,A6VN,12.770,0.050,V-K,,,,0.00,106.100,,32.800,,318.416245,-72.681506,0.390,0.050,1990MNRAS.242....1C,2.050,0.010,,0,A,MAINSEQ,3.57,,150.07,,0.00,,31.54,,7922.00,,Gray,1.90,,Turnbull,1.92,,Turnbull,3.97,,Gray,,,,,,,,,1,0,,1,0,1,0,0,2,0,3.739,0.286,0,3.585,0.222,0,3.590,0.292,0,,,,,,,,,,,,
10,HIP 2081,HIP 2081,HD 2261,GJ 9013,2MASS J00261699-4218216,1,1,0,0,0,0,0,00h26m16.87s,6.570281,-42d18m18.4s,-42.305122,25.97,0.53,-0.51,2.400,0.010,G,1.080,0.020,G,K0IIIB,88.070,0.070,V-K,,,,0.02,232.800,,-353.600,,320.002763,-73.978986,2.400,0.050,1968AJ.....73..431P,0.330,0.050,,0,GIANT,GIANT,9.38,,361.30,,0.00,,32.11,,4436.00,,Gray,15.88,,Turnbull,3.15,,Turnbull,2.53,,Gray,,,,,,,,,1,0,,1,0,1,0,0,2,0,0.579,0.240,0,-0.089,0.324,0,-0.166,0.376,0,,,,,,,,,,,,
